Date;Time;SensorId;Value
01.01.2019;00:00:00;1;15,00
01.01.2019;00:00:00;2;-14,58
01.01.2019;00:00:00;3;5,00
01.01.2019;00:00:00;7;15,00
01.01.2019;00:00:00;8;-15,00
01.01.2019;00:00:00;9;5,00
01.01.2019;00:00:00;13;15,00
01.01.2019;00:00:00;14;-15,00
01.01.2019;00:00:00;15;5,00
01.01.2019;00:00:00;19;15,00
01.01.2019;00:00:00;20;-15,47
01.01.2019;00:00:00;21;5,00
01.01.2019;00:00:00;24;7,43
01.01.2019;00:00:00;25;15,00
01.01.2019;00:00:00;26;-15,40
01.01.2019;00:00:00;27;5,00
01.01.2019;00:00:00;31;16,69
01.01.2019;00:00:00;32;-15,00
01.01.2019;00:00:00;33;6,55
01.01.2019;00:00:01;18;5,99
01.01.2019;00:00:05;17;-14,69
01.01.2019;00:00:12;5;-13,28
01.01.2019;00:00:16;16;16,61
01.01.2019;00:00:22;12;6,65
01.01.2019;00:00:24;6;5,21
01.01.2019;00:00:27;22;14,98
01.01.2019;00:00:31;28;18,56
01.01.2019;00:00:34;11;-15,94
01.01.2019;00:00:37;34;13,84
01.01.2019;00:00:41;36;5,75
01.01.2019;00:00:43;23;-14,47
01.01.2019;00:00:44;4;19,44
01.01.2019;00:00:52;10;13,02
01.01.2019;00:00:53;35;-16,25
01.01.2019;00:00:55;29;-14,40
01.01.2019;00:00:58;30;4,86
01.01.2019;00:02:00;1;15,59
01.01.2019;00:02:00;3;5,00
01.01.2019;00:02:00;7;13,95
01.01.2019;00:02:00;9;5,00
01.01.2019;00:02:00;13;15,00
01.01.2019;00:02:00;15;5,00
01.01.2019;00:02:00;19;15,00
01.01.2019;00:02:00;21;4,20
01.01.2019;00:02:00;24;6,33
01.01.2019;00:02:00;25;15,00
01.01.2019;00:02:00;27;5,00
01.01.2019;00:02:00;31;16,69
01.01.2019;00:02:00;33;6,55
01.01.2019;00:02:01;18;4,36
01.01.2019;00:02:16;16;16,88
01.01.2019;00:02:22;12;6,75
01.01.2019;00:02:24;6;7,97
01.01.2019;00:02:27;22;10,89
01.01.2019;00:02:31;28;17,84
01.01.2019;00:02:37;34;16,48
01.01.2019;00:02:41;36;9,07
01.01.2019;00:02:44;4;13,57
01.01.2019;00:02:52;10;18,89
01.01.2019;00:02:58;30;5,91
01.01.2019;00:04:00;1;15,59
01.01.2019;00:04:00;3;5,00
01.01.2019;00:04:00;7;12,95
01.01.2019;00:04:00;9;5,00
01.01.2019;00:04:00;13;15,00
01.01.2019;00:04:00;15;5,00
01.01.2019;00:04:00;19;14,06
01.01.2019;00:04:00;21;4,20
01.01.2019;00:04:00;24;3,64
01.01.2019;00:04:00;25;15,00
01.01.2019;00:04:00;27;5,00
01.01.2019;00:04:00;31;16,69
01.01.2019;00:04:00;33;7,21
01.01.2019;00:04:01;18;7,71
01.01.2019;00:04:16;16;14,42
01.01.2019;00:04:22;12;5,77
01.01.2019;00:04:24;6;5,03
01.01.2019;00:04:27;22;18,33
01.01.2019;00:04:31;28;11,11
01.01.2019;00:04:37;34;14,64
01.01.2019;00:04:41;36;9,33
01.01.2019;00:04:44;4;11,34
01.01.2019;00:04:52;10;10,54
01.01.2019;00:04:58;30;5,18
01.01.2019;00:05:00;2;-14,03
01.01.2019;00:05:00;8;-14,65
01.01.2019;00:05:00;14;-14,61
01.01.2019;00:05:00;20;-15,47
01.01.2019;00:05:00;26;-15,40
01.01.2019;00:05:00;32;-15,00
01.01.2019;00:05:05;17;-14,20
01.01.2019;00:05:12;5;-14,98
01.01.2019;00:05:34;11;-13,17
01.01.2019;00:05:43;23;-14,72
01.01.2019;00:05:53;35;-15,33
01.01.2019;00:05:55;29;-14,66
01.01.2019;00:06:00;1;15,59
01.01.2019;00:06:00;3;5,00
01.01.2019;00:06:00;7;12,95
01.01.2019;00:06:00;9;5,00
01.01.2019;00:06:00;13;14,69
01.01.2019;00:06:00;15;5,00
01.01.2019;00:06:00;19;13,21
01.01.2019;00:06:00;21;4,20
01.01.2019;00:06:00;24;6,94
01.01.2019;00:06:00;25;16,73
01.01.2019;00:06:00;27;5,00
01.01.2019;00:06:00;31;16,69
